Date,Open,High,Low,Close,Adj Close,Volume
2023-07-17,104.680000,105.025002,102.589996,104.790001,103.026474,10729126
2023-07-18,103.690002,103.730003,102.010002,103.150002,101.414070,10355352
2023-07-19,103.900002,104.790001,102.570000,103.059998,101.325577,11204828
2023-07-20,98.550003,100.449997,97.050003,97.860001,96.213097,22810237
2023-07-21,97.879997,97.989998,96.332001,97.250000,95.613365,15381226
2023-07-24,97.269997,98.264999,96.779999,98.250000,96.596527,9054912
2023-07-25,99.514999,100.889999,99.110001,100.320000,98.631691,9202222
2023-07-26,99.489998,100.129997,98.570000,99.410004,97.737015,8993547
2023-07-27,101.500000,101.760002,98.904999,99.349998,97.678017,8049784
2023-07-28,100.110001,100.989998,99.779999,100.860001,99.162605,6766298
2023-07-31,99.180000,99.779999,98.419998,99.150002,97.481392,8654145
2023-08-01,99.139999,99.190002,98.084999,98.400002,96.744003,6439692
2023-08-02,97.500000,97.500000,95.209999,95.699997,94.089447,9827891
2023-08-03,94.839996,95.805000,94.574997,94.980003,93.381569,8603707
2023-08-04,95.279999,97.580002,95.129997,96.160004,94.541710,7562649
2023-08-07,96.730003,96.940002,95.224998,96.349998,94.728508,6601403
2023-08-08,94.879997,94.900002,93.669998,94.489998,92.899811,7659012
2023-08-09,95.830002,95.849998,93.709999,93.980003,92.398392,6426862
2023-08-10,95.449997,95.970001,94.279999,94.800003,93.204597,7459584
2023-08-11,93.500000,93.500000,91.970001,91.989998,90.441879,10658398
2023-08-14,91.690002,93.290001,91.300003,93.070000,91.503700,7489675
2023-08-15,92.519997,92.709999,91.489998,91.680000,90.137108,6069500
2023-08-16,91.440002,92.714996,91.320000,91.779999,90.235413,7439502
2023-08-17,92.919998,92.919998,91.349998,91.639999,90.097778,7712486
2023-08-18,90.070000,91.330002,89.559998,91.099998,89.566864,9066167
2023-08-21,90.500000,92.904999,90.500000,92.559998,91.002289,8618303
2023-08-22,93.349998,93.489998,91.805000,92.239998,90.687675,7060063
2023-08-23,93.790001,95.095001,93.239998,94.220001,92.634354,10362581
2023-08-24,96.529999,96.779999,92.470001,92.529999,90.972794,12254419
2023-08-25,92.250000,93.410004,91.404999,93.099998,91.533203,10355952
2023-08-28,93.820000,94.150002,93.248398,94.000000,92.418053,5174779
2023-08-29,93.769997,95.620003,93.510002,95.080002,93.479874,8910319
2023-08-30,95.449997,95.919998,94.629997,94.779999,93.184929,6073414
2023-08-31,93.339996,94.400002,93.269997,93.570000,91.995293,8661169
2023-09-01,94.300003,94.580002,93.089996,93.190002,91.621689,7094628
2023-09-05,93.400002,95.050003,92.870003,94.599998,93.007965,6396488
2023-09-06,93.849998,93.959999,91.591003,92.260002,90.707344,7933713
2023-09-07,90.070000,90.290001,88.430000,90.050003,88.534531,14684446
2023-09-08,90.750000,91.070000,89.316498,89.639999,88.131432,5822265
2023-09-11,90.099998,90.394897,89.160004,89.599998,88.092102,7268572
2023-09-12,90.459999,91.570000,90.419998,90.480003,88.957298,8242642
2023-09-13,90.599998,91.885002,90.480003,91.220001,89.684837,5757807
